Event ID,Ticket Number,Incident ID,Charger,Serial / Main Asset,Outlet,Fault Codes,Suggested Failure Date,Failure Date Source,Ticket Created,First CableTempSensor Evidence Date,Template yyyy-mm-dd (Review Only),Suggested Label,Confidence Reason,Final Label,Manual Failure Date,Possible Duplicate <=30d,Duplicate Group,Another Event <=90d,Title,Description,Root Cause,Solution,Repair Completed,Repair Evidence Date,Repair Evidence,Fault Flags,Multi-Fault Ticket,Other DC Fault Codes,Match Locations,First CableTempSensor Evidence,Match Count,JSON File
0481854_DC2,0481854,ccf06219-896d-409f-91d0-eb230b87c18a,uoQAdw,MP / P3 170000422,DC2,DC2_CABLETEMPSENSOR_XD101,2026-05-28T08:10:06Z,additional_info,2026-03-03T13:24:04Z,2026-05-28T08:10:06Z,,REVIEW,failure/error language; diagnostic fault flags,,,,,Yes,ID0481854-DC/Si-D/DE- [MP / P3 170000422] Charging Power-Fault,Reported Behavior/Issue: Concurrent Charging Power-Fault,,,No,,,VIV:0; PLE:1; KON:1,No,,additional_info[33].body,Closed will be worked on ID0483950-DC/Si-D/DE-[MP / P3 170000422] DC2_CableTempSensor_XD101,1,ccf06219-896d-409f-91d0-eb230b87c18a.json
0478972_DC1,0478972,9f5b3036-0c0c-f111-8407-000d3ab1199b,rY4zJU,MP / S3 170003440,DC1,DC1_CABLETEMPSENSOR_XD100,2026-04-10T08:17:22Z,additional_info,2026-02-17T14:23:27Z,2026-04-10T08:17:22Z,,REVIEW,failure/error language,,,,,,ID0478972-DC/Si-D/BE-[MP / S3 170003440] Password Configuration & Recurrent Fault on Left Charger,Reported behaviour/issue: Password Configuration & Recurrent Fault on Left Charger,,,No,,,,No,,additional_info[20].body; additional_info[29].body; additional_info[30].body,"ID0478972-DC/Si-D/BE-[MP / S3 170003440] Password Configuration & Recurrent Fault on Left Charger CRM:03380000136 Hi colleagues, Afonso asked me to support you on this subject. First, the authentication that you are requesting is not possible. If the customer doesn't want a OCPP backend, then there is no authentication possible. Second, the problem that the customer is reporting was DC1_CableTempSensor_XD100 which is no longer present from the past 1 week. It seems like there is some loose wiring in my opinion, because I can no longer access the data from the past to confirm if there is a defect. Third, the LOGO software is wrong and we need to change it. For the last 1 week, there was no charging session in the outlet that was not working, as such, I would recommend asking the customer to do a session in DC1 before we go there. If the session works, there is no need to go to site. If the ses",3,9f5b3036-0c0c-f111-8407-000d3ab1199b.json
0484989_DC1,0484989,7c312f09-4a57-41fd-af42-39fcb13d4969,Sf3dbc,RVP/SN170004283,DC1,DC1_CABLETEMPSENSOR_XD100,2026-03-18T06:03:12Z,ticket_created,2026-03-18T06:03:12Z,2026-03-18T06:03:12Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; failure/error language,,,Yes,DUP_0007,Yes,ID0484989-DC/Si-D/AT-[RVP/SN170004283] DC1_CableTempSensor_XD100 temp diff error,"Repo
rted behaviour/issue: DC1_CableTempSensor_XD100 temp diff error
Solution: Not happening anymore, most likely a misreading of the 2nd pair of temperature sensors which can only be seen with a special log setting",,"Not happening anymore, most likely a misreading of the 2nd pair of temperature sensors which can only be seen with a special log setting",No,,,,No,,additional_info[10].subject; additional_info[11].subject; additional_info[14].subject; additional_info[1].body; additional_info[2].body; additional_info[2].subject; additional_info[4].subject; additional_info[5].body; additional_info[5].subject; additional_info[7].subject; additional_info[8].subject; additional_info[9].subject; description; title,"ID0484989-DC/Si-D/AT-[RVP/SN170004283] DC1_CableTempSensor_XD100 temp diff error Repo rted behaviour/issue: DC1_CableTempSensor_XD100 temp diff error Solution: Not happening anymore, most likely a misreading of the 2nd pair of temperature sensors which can only be seen with a special log setting",14,7c312f09-4a57-41fd-af42-39fcb13d4969.json
0484444_DC2,0484444,43269c76-1a21-f111-8342-000d3ab11fb1,iO9Dql,,DC2,DC2_CABLETEMPSENSOR_XD101,2026-03-16T09:28:24Z,ticket_created,2026-03-16T09:28:24Z,2026-03-16T09:28:24Z,,POSITIVE_MEDIUM,exact CableTempSensor fault code in title/description,,,,,,ID0484444-DC/Si-D/PT- [Y2/T7 400000196342] DC2_CableTempSensor_XD101,"Reported Behavior/Issue: DC2_CableTempSensor_XD101
HI, serial number
Y2/T7 400000196342
is available in SCB, but not available in ISP. Hence moving the case without adding the product.",,,No,,,,No,,additional_info[11].body; additional_info[12].subject; additional_info[15].subject; additional_info[2].body; additional_info[2].subject; additional_info[4].subject; additional_info[6].subject; additional_info[7].subject; additional_info[8].subject; description; title,"ID0484444-DC/Si-D/PT- [Y2/T7 400000196342] DC2_CableTempSensor_XD101 Reported Behavior/Issue: DC2_CableTempSensor_XD101 HI, serial number Y2/T7 400000196342 is available in SCB, but not available in ISP. Hence moving the case without adding the product.",11,43269c76-1a21-f111-8342-000d3ab11fb1.json
0484183_DC2,0484183,659babb5-cf1e-f111-8342-000d3ab12cfa,B9kcjx,MP / R0 170002860,DC2,DC2_CABLETEMPSENSOR_XD101,2026-03-13T11:28:15Z,ticket_created,2026-03-13T11:28:15Z,2026-03-13T11:28:15Z,,POSITIVE_MEDIUM,exact CableTempSensor fault code in title/description,,,,,,ID0484183-DC/Si-D/DE-[MP / RO 170002860] DC2_CableTempSensor_XD101,"Reported behavior/issue: Defective Charging cable
Solution: NA
yyyy-mm-dd: NA",,NA,No,,,,No,,additional_info[14].subject; additional_info[5].body; additional_info[8].subject; title,ID0484183-DC/Si-D/DE-[MP / RO 170002860] DC2_CableTempSensor_XD101 Reported behavior/issue: Defective Charging cable Solution: NA yyyy-mm-dd: NA,4,659babb5-cf1e-f111-8342-000d3ab12cfa.json
0483948_DC1,0483948,dc63ca59-2922-4ee9-99c2-11ded821862d,fDzl60,MP / S6 170003725,DC1,DC1_CABLETEMPSENSOR_XD100,2026-03-12T14:13:47Z,additional_info,2026-03-12T12:01:15Z,2026-03-12T14:13:47Z,,REVIEW,diagnostic fault flags,,,Yes,DUP_0013,Yes,ID0483948-DC/Si-D/DE-[MP / S6 170003725] CP1 - faulted - secc is initializing,"Reported behavior/issue-
CP1 - faulted - secc is initializing",,,No,,,VIV:0; RNE:1; KON:1,No,,additional_info[3].body; additional_info[6].body,Problem Description : Outlet 1 out of order due to CableTempSensor flag (DC1_CableTempSensor_XD100 PLC DEVICE true VIV:0 RNE:1 KON:1) DC1 Errorcode 4 Action Performed (L2) : Charger SW Version: Reason for Handover (L3) : Fault history,2,dc63ca59-2922-4ee9-99c2-11ded821862d.json
0483950_DC2,0483950,0819aa51-7acf-4038-a01b-101bf0d4f772,uoQAdw,MP / P3 170000422,DC2,DC2_CABLETEMPSENSOR_XD101,2026-03-12T12:04:09Z,ticket_created,2026-03-12T12:04:09Z,2026-03-12T12:04:09Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; diagnostic fault flags,,,,,Yes,ID0483950-DC/Si-D/DE-[MP / P3 170000422] DC2_CableTempSensor_XD101,"Reported behavior/issue: DC2_CableTempSensor_XD101
Solution:",,,No,,,VIV:0; PLE:1; KON:1,No,,additional_info[11].subject; additional_info[12].body; additional_info[12].subject; additional_info[13].subject; additional_info[14].body; additional_info[14].subject; additional_info[18].subject; additional_info[19].body; additional_info[19].subject; additional_info[1].body; additional_info[20].subject; additional_info[22].body; additional_info[22].subject; additional_info[23].body; additional_info[23].subject; additional_info[24].subject; additional_info[26].body; additional_info[26].subject; additional_info[2].body; additional_info[2].subject; additional_info[6].subject; additional_info[7].body; additional_info[7].subject; additional_info[9].subject; description; title,ID0483950-DC/Si-D/DE-[MP / P3 170000422] DC2_CableTempSensor_XD101 Reported behavior/issue: DC2_CableTempSensor_XD101 Solution:,26,0819aa51-7acf-4038-a01b-101bf0d4f772.json
0483261_DC1,0483261,55e4a1c4-2089-4e71-a797-aa41e8e8d352,l9vpqq,RVP/T5170004750,DC1,DC1_CABLETEMPSENSOR_XD100,2026-03-10T07:41:52Z,ticket_created,2026-03-10T07:41:52Z,2026-03-10T07:41:52Z,,POSITIVE_MEDIUM,exact CableTempSensor fault code in title/description,,,,,,ID0483261-DC/Si-D/DK-[RVP/T5170004750] DC1_CableTempSensor_XD100,Reported Behavior/Issue: DC1_CableTempSensor_XD100,,,No,,,,No,,additional_info[3].body; additional_info[3].subject; additional_info[7].subject; additional_info[8].subject; description; title,ID0483261-DC/Si-D/DK-[RVP/T5170004750] DC1_CableTempSensor_XD100 Reported Behavior/Issue: DC1_CableTempSensor_XD100,6,55e4a1c4-2089-4e71-a797-aa41e8e8d352.json
0483248_DC1,0483248,38f50904-501c-f111-8342-000d3ab12cf3,Sf3dbc,RVP/SN170004283,DC1,DC1_CABLETEMPSENSOR_XD100,2026-03-10T07:09:07Z,ticket_created,2026-03-10T07:09:07Z,2026-03-10T07:09:07Z,,POSITIVE_MEDIUM,exact CableTempSensor fault code in title/description,,,Yes,DUP_0007,Yes,ID0483248-DC/Si-D/AT-[RVP/SN170004283] DC1_CableTempSensor_XD100,"Reported behaviour/issue: Temp sensor problem for DC1 in the errorflags when in ecog it is not vissible?
Root cause: CabSens value too high",CabSens value too high,,No,,,,No,,additional_info[11].subject; additional_info[4].body; title,ID0483248-DC/Si-D/AT-[RVP/SN170004283] DC1_CableTempSensor_XD100 Reported behaviour/issue: Temp sensor problem for DC1 in the errorflags when in ecog it is not vissible? Root cause: CabSens value too high,3,38f50904-501c-f111-8342-000d3ab12cf3.json
0483107_DC1,0483107,b2decb16-c2ca-412e-b96a-9f2011cd859b,pSJ5Cc,MP / R3 170001600,DC1,DC1_CABLETEMPSENSOR_XD100,2026-03-09T14:40:25Z,ticket_created,2026-03-09T14:40:25Z,2026-03-09T14:40:25Z,,POSITIVE_HIGH,exact CableTempSensor fault code in title/description; diagnostic fault flags,,,,,,ID0483107-DC/Si-D/DE-[MP/R3 170001600] DC1_CableTempSensor_XD100,"Reported behavior/issue:
DC1_CableTempSensor_XD100
Solution: NA
yyyy-mm-dd: NA",,NA,No,,,VIV:0; PLE:1; KON:1; SOV:1; CMD:0; FBK:1; FBK:0,No,,additional_info[11].subject; additional_info[12].subject; additional_info[13].body; additional_info[13].subject; additional_info[14].body; additional_info[14].subject; additional_info[16].subject; additional_info[18].subject; additional_info[19].subject; additional_info[1].body; additional_info[20].body; additional_info[20].subject; additional_info[21].subject; additional_info[7].body; additional_info[7].subject; description; title,ID0483107-DC/Si-D/DE-[MP/R3 170001600] DC1_CableTempSensor_XD100 Reported behavior/issue: DC1_CableTempSensor_XD100 Solution: NA yyyy-mm-dd: NA,17,b2decb16-c2ca-412e-b96a-9f2011cd859b.json
